KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT
7;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
7;32;1455;"Koalice pro Královéhradecký kraj - KDU-ÈSL - VPM - Nestraníci";"Koalice pro KH kraj - KDU-ÈSL - VPM - Nestraníci";"Koalice KDU-ÈSL, VPM, Nestran.";"KDU+VPM+Nestr.";3;"001,113,181";"0";"A";""
7;47;1464;"Spojenci pro Královéhradecký kraj";"Spojenci pro Královéhradecký kraj";"Koalice TOP 09, HDK, LES";"TOP 09+HDK+LES";3;"721,795,1049";"0";"A";""
7;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
7;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
7;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
7;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
7;73;1454;"Obèanská demokratická strana + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOÈEŠI";"ODS + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOÈEŠI";"Koalice ODS, STAN, VÈ";"ODS+STAN+VÈ";3;"053,166,770";"0";"A";""
7;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
8;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
8;7;166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"0";"A";""
8;8;1446;"Trikolóra hnutí obèanù a Strana soukromníkù Èeské republiky";"Trikolóra hnutí obèanù a Strana soukromníkù ÈR";"Trikolóra a Strana soukr. ÈR";"Trikol+Soukrom";2;"716,1227";"0";"A";""
8;11;687;"ODS a TOP 09";"ODS a TOP 09";"ODS a TOP 09";"ODS+TOP 09";2;"053,721";"0";"A";""
8;13;5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"0";"A";""
8;15;770;"VÝCHODOÈEŠI";"VÝCHODOÈEŠI";"VÝCHODOÈEŠI";"VÈ";1;"770";"0";"A";""
8;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
8;17;344;"Koalice pro Pardubický kraj";"Koalice pro Pardubický kraj";"Koalice pro Pardubický kraj";"KDU+SNKED+Nestr";3;"001,129,181";"0";"A";""
8;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
8;22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0";"A";""
8;30;1468;"3PK - Pro prosperující Pardubický kraj";"3PK - Pro prosperující Pardubický kraj";"3PK-Pro prosperující Pard. kr.";"ÈSSD+SproK";2;"007,1228";"0";"A";""
8;34;785;"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"PRO Zdraví";1;"785";"0";"A";""
8;36;1453;"Dìlnická strana sociální spravedlnosti - STOP KRIMIGRANTÙM!";"DSSS - STOP KRIMIGRANTÙM!";"DSSS - STOP KRIMIGRANTÙM!";"DSSS+ÈiKR";2;"156,1021";"0";"A";""
8;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
8;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
8;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
8;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
8;83;1234;"Mladí pro Pardubický kraj";"Mladí pro Pardubický kraj";"Mladí pro Pardubický kraj";"MPK";1;"1234";"0";"A";""
9;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
9;12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"0";"A";""
9;13;5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"0";"A";""
9;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
9;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
9;25;1465;"Pro TOP Vysoèinu";"Pro TOP Vysoèinu";"Pro TOP Vysoèinu";"TOP+KAN+Monarch";3;"040,055,721";"0";"A";""
9;27;1152;"Starostové pro Vysoèinu";"Starostové pro Vysoèinu";"Starostové pro Vysoèinu";"STAN+SNK ED";2;"129,166";"0";"A";""
9;31;1446;"TRIKOLÓRA - SOUKROMNÍCI";"TRIKOLÓRA - SOUKROMNÍCI";"TRIKOLÓRA - SOUKROMNÍCI";"Trikol+Soukrom";2;"716,1227";"0";"A";""
9;38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0";"A";""
9;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
9;46;1447;"ODS a Starostové pro obèany";"ODS a Starostové pro obèany";"ODS a Starostové pro obèany";"ODS+STO";2;"053,779";"0";"A";""
9;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
9;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
9;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
9;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
9;84;1190;"Moravské zemské hnutí";"Moravské zemské hnutí";"Moravské zemské hnutí";"MZH";1;"1190";"0";"A";""
10;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
10;12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"0";"A";""
10;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
10;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
10;22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0";"A";""
10;34;785;"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"PRO Zdraví";1;"785";"0";"A";""
10;44;1467;"Spolu pro Moravu";"Spolu pro Moravu";"Spolu pro Moravu";"TOP+Z+LES+MZH+I";5;"005,721,795,1190,1233";"0";"A";""
10;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
10;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
10;51;1457;"Starostové pro jižní Moravu";"Starostové pro jižní Moravu";"Starostové pro jižní Moravu";"STAN+SOL";2;"166,1031";"0";"A";""
10;56;74;"Levice";"Levice";"Levice";"Levice";1;"074";"0";"A";""
10;60;1453;"Dìlnická strana sociální spravedlnosti - Èistý kraj";"DSSS - ÈiKR";"DSSS - ÈiKR";"DSSS+ÈiKR";2;"156,1021";"0";"A";""
10;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
10;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
10;76;1445;"Obèanská demokratická strana s podporou Svobodných a hnutí Starostové a osobnosti pro Moravu";"ODS s podporou Svobodných a hnutí SOM";"ODS s podpor. Svobodných a SOM";"ODS+Svobod.+SOM";3;"053,158,714";"0";"A";""
10;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
11;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
11;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
11;21;1350;"PIRÁTI a STAROSTOVÉ";"PIRÁTI a STAROSTOVÉ";"PIRÁTI a STAROSTOVÉ";"PIRÁTI a STAN";2;"166,720";"0";"A";""
11;22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0";"A";""
11;33;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"0";"A";""
11;38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0";"A";""
11;40;736;"SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ÈECH, MORAVY A SLEZSKA";"SDR.PRO REP.-REPUBLIKÁNSKÁ STR.ÈECH,MORAVY,SLEZSKA";"SPR-REP.STR.ÈECH,MORAVY,SLEZ.";"SPR-RSÈMS";1;"736";"0";"A";""
11;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
11;52;1442;"ÈSSD a Patrioti Olomouckého kraje";"ÈSSD a Patrioti Olomouckého kraje";"ÈSSD a Patrioti Olom. kraje";"ÈSSD a POK";2;"007,1230";"0";"A";""
11;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
11;64;1450;"Spojenci - Koalice pro Olomoucký kraj (KDU-ÈSL, TOP 09, Strana zelených, ProOlomouc)";"Spojenci - Koalice KDU-ÈSL, TOP 09, Zelení a ProOl";"Spojenci pro Olomoucký kraj";"KDU+Z+TOP+ProOl";4;"001,005,721,1039";"0";"A";""
11;66;1460;"Soukromníci a ODA";"Soukromníci a ODA";"Soukromníci a ODA";"Soukromníci+ODA";2;"716,1173";"0";"A";""
11;68;55;"Koruna Èeská (monarchistická strana Èech, Moravy a Slezska)";"Koruna Èeská (monarch.str.Èech, Moravy a Slezska)";"Koruna Èeská (monarch.strana)";"Monarchiste.cz";1;"055";"0";"A";""
11;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
11;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
12;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
12;6;1458;"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ";"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ";"Trikolóra, Soukromníci, NEZ";"Trikol+Souk+NEZ";3;"088,716,1227";"0";"A";""
12;7;166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"0";"A";""
12;12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"0";"A";""
12;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
12;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
12;22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0";"A";""
12;33;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"0";"A";""
12;40;736;"SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ÈECH, MORAVY A SLEZSKA";"SDR.PRO REP.-REPUBLIKÁNSKÁ STR.ÈECH,MORAVY,SLEZSKA";"SPR-REP.STR.ÈECH,MORAVY,SLEZ.";"SPR-RSÈMS";1;"736";"0";"A";""
12;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
12;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
12;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
12;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
12;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
13;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
13;12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"0";"A";""
13;14;1217;"Moravská a Slezská pirátská strana";"Moravská a Slezská pirátská strana";"Morav. a Slez. pirátská strana";"MS Piráti";1;"1217";"0";"A";""
13;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
13;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
13;22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0";"A";""
13;28;1118;"VOK - Volba pro kraj";"VOK - Volba pro kraj";"VOK - Volba pro kraj";"VOK";1;"1118";"0";"A";""
13;29;687;"Obèanská demokratická strana s podporou TOP 09";"ODS s podporou TOP 09";"Koalice ODS a TOP 09";"ODS+TOP 09";2;"053,721";"0";"A";""
13;37;1225;"Jednotní";"Jednotní";"Jednotní";"JEDNOTNÍ";1;"1225";"0";"A";""
13;38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0";"A";""
13;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
13;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
13;54;1476;"STAN, ZELENÍ a NEZÁVISLÍ";"STAN, ZELENÍ a NEZÁVISLÍ";"Koalice STAN, Zelení, NEZ";"STAN+Zelení+NEZ";3;"005,088,166";"0";"A";""
13;57;1466;"Pro krásný kraj - Hlas nezávislých osobností! Koalice ODA, HLAS, SNK ED";"Pro krásný kraj - Hlas nezávislých osobností!";"Koalice ODA, Hlas, SNK ED";"ODA+Hlas+SNK ED";3;"129,1173,1220";"0";"A";""
13;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
13;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
13;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
13;79;1231;"Alternativa pro nezávislé kandidáty 2020 - ANK 2020";"Alternativa pro nezávislé kandidáty 2020-ANK 2020";"Aletrnativa pro nez.kand.2020";"ANK 2020";1;"1231";"0";"A";""
13;81;142;"Starostové pro kraj";"Starostové pro kraj";"Starostové pro kraj";"Starostové";1;"142";"0";"A";""
13;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
